,price,product_detail,hyperlink
39,499.99,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card   3 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N207SWF3OC-8GD Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207swf3oc-8gd/p/N82E16814932213
40,399.99,GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card   2 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N2070WF2-8GD (Rev 3.0) Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2070-gv-n2070wf2-8gd-rev-3-0/p/N82E16814932226
41,169.99,EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card   04G-P4-1357-KR   4GB GDDR6   Dual Fan   Metal Backplate,https://www.newegg.com/evga-geforce-gtx-1650-super-04g-p4-1357-kr/p/N82E16814487482
42,1099.99,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card   Dual HDB Fans & RGB LED,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2281-kr/p/N82E16814487418
43,399.99,GIGABYTE GeForce RTX 2060 SUPER GAMING OC 3X 8G Graphics Card   3 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N206SGAMING OC-8GD Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206sgaming-oc-8gd/p/N82E16814932220
44,269.99,GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card   2 x WINDFORCE Fans   6GB 192-Bit GDDR6   GV-N166TOC-6GD Video Card,https://www.newegg.com/gigabyte-geforce-gtx-1660-ti-gv-n166toc-6gd/p/N82E16814932131
45,329.99,GIGABYTE Geforce RTX 2060 OC GG Graphics Card   2 x WINDFORCE Fans   6GB 192-Bit GDDR6   GV-N2060OC-6GD  Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060oc-6gd/p/N82E16814932115
46,499.99,ZOTAC GAMING GeForce RTX 2070 SUPER MINI 8GB GDDR6 256-bit 14 Gbps Gaming Graphics Card   IceStorm 2.0   Super Compact   ZT-T20710E-10M,https://www.newegg.com/zotac-geforce-rtx-2070-super-zt-t20710e-10m/p/N82E16814500477
47,569.99,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER GAMING Z TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-gaming-z-trio/p/N82E16814137487
48,1499.99,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING   11G-P4-2487-KR   11GB GDDR6   iCX2 & RGB LED,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2487-kr/p/1FT-001K-003E4
